,URL_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVG_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
0,bctech2011,4098,0,0.09618284389739613,0.39166446116073034,21.79787234042553,29.79502196193265,20.637157720943275,21.79787234042553,1221,4098,1.8030746705710103,24,5.4856027330405075
1,bctech2012,1608,0,0.13982824534772592,0.4042274824742356,25.523809523809526,25.870646766169152,20.557782515991473,25.523809523809526,416,1608,1.7531094527363185,24,5.513681592039801
2,bctech2013,1743,0,0.1541607848673067,0.4550830510069641,37.891304347826086,24.268502581755595,24.863922771832673,37.891304347826086,423,1743,1.70223752151463,23,5.38324727481354
3,bctech2014,1587,0,0.13576639409972743,0.3608325830548052,24.415384615384614,26.27599243856333,20.27655082157918,24.415384615384614,417,1587,1.7403906742281032,23,5.4303717706364205
4,bctech2015,1709,0,0.12302286191175081,0.38762184317739873,44.973684210526315,24.51726155646577,27.796378306796836,44.973684210526315,419,1709,1.6729081334113516,23,5.273844353423055
5,bctech2016,1580,0,0.16151248295083914,0.3887092131612679,24.6875,25.63291139240506,20.128164556962027,24.6875,405,1580,1.6955696202531645,23,5.314556962025317
6,bctech2017,1418,0,0.13554609804609807,0.3640575640575641,35.45,24.894217207334275,24.137686882933714,35.45,353,1418,1.6727785613540198,23,5.332157968970381
7,bctech2018,1468,0,0.11684751651856914,0.36522271588061056,41.94285714285714,24.38692098092643,26.531911249513428,41.94285714285714,358,1468,1.6880108991825613,23,5.3269754768392374
8,bctech2019,1593,0,0.14165904518017197,0.3860465825254558,40.84615384615385,22.598870056497177,25.37800956106041,40.84615384615385,360,1593,1.6597614563716259,23,5.270558694287508
9,bctech2020,1844,0,0.1293193605074794,0.40867515322960857,47.282051282051285,27.81995661605206,30.040803159241342,47.282051282051285,513,1844,1.7819956616052062,26,5.488611713665944
10,bctech2021,1622,0,0.15063852813852818,0.3873202987488701,24.953846153846154,24.9691738594328,19.969208005311586,24.953846153846154,405,1622,1.7133168927250308,25,5.419235511713933
11,bctech2022,1852,0,0.12310721193699918,0.4012261674495717,41.17777777777778,22.73218142548596,25.563983681305498,41.17777777777778,421,1852,1.670086393088553,23,5.369870410367171
12,bctech2023,1689,0,0.1344532279314888,0.40483719179371347,54.483870967741936,23.978685612788635,31.38502263221223,54.483870967741936,405,1689,1.6903493191237418,30,5.282415630550622
13,bctech2024,1888,0,0.1468303571428572,0.4326936778499278,48.41025641025641,24.629237288135595,29.215797479356805,48.41025641025641,465,1888,1.7039194915254237,33,5.289724576271187
14,bctech2025,1929,0,0.1527421271538919,0.4005956298603357,38.58,23.431829963711767,24.804731985484707,38.58,452,1929,1.6842923794712286,46,5.199585277345775
15,bctech2026,1979,0,0.1735485287659201,0.43966528640441666,41.229166666666664,22.334512379989892,25.425471618662627,41.229166666666664,442,1979,1.631632137443153,30,5.151086407276402
16,bctech2027,1898,0,0.12439971139971147,0.38102494331065756,34.50909090909091,22.708113804004213,22.88688188523805,34.50909090909091,431,1898,1.649631190727081,32,5.236564805057956
17,bctech2028,2068,0,0.1525619660575413,0.4218577145568295,40.549019607843135,21.034816247582206,24.633534342170137,40.549019607843135,435,2068,1.6552224371373307,23,5.215183752417795
18,bctech2029,2180,0,0.16791546416546418,0.46416967291967287,37.58620689655172,22.798165137614678,24.153748813666564,37.58620689655172,497,2180,1.661467889908257,45,5.179357798165138
19,bctech2030,1884,0,0.16449350649350655,0.40085714285714275,40.95652173913044,22.505307855626327,25.384731837902706,40.95652173913044,424,1884,1.6687898089171975,28,5.262208067940552
20,bctech2031,2156,0,0.12450629435923556,0.38817122420063593,40.679245283018865,23.00556586270872,25.473924458291037,40.679245283018865,496,2156,1.6641929499072357,39,5.24582560296846
21,bctech2032,1584,0,0.13296181430509788,0.3791513213155005,49.5,21.085858585858585,28.234343434343437,49.5,334,1584,1.5965909090909092,29,5.041666666666667
22,bctech2033,1730,0,0.12661752661752662,0.40522551772551757,39.34090909090909,24.6242774566474,25.586074619022597,39.34090909090909,426,1730,1.6959537572254335,24,5.326589595375722
23,bctech2034,2169,0,0.10686507936507939,0.4387481962481961,40.924528301886795,21.94559704933149,25.148050140487314,40.924528301886795,476,2169,1.6053480866758876,23,5.1120331950207465
24,bctech2035,1825,0,0.19869941105406225,0.46627655290445985,34.43396226415094,25.753424657534246,24.074954768674075,34.43396226415094,470,1825,1.7326027397260273,27,5.290958904109589
25,bctech2036,2023,0,0.1373550932842969,0.385613339462897,33.16393442622951,20.810677212061297,21.589844655316327,33.16393442622951,421,2023,1.5991102323282254,24,5.0721700444883835
26,bctech2037,2116,0,0.05108529211834996,0.39776448069836495,51.609756097560975,19.896030245746694,28.60231453732307,51.609756097560975,421,2116,1.6053875236294897,37,5.101606805293006
27,bctech2038,1536,0,0.14655294953802417,0.37142857142857144,49.54838709677419,20.5078125,28.02247983870968,49.54838709677419,315,1536,1.583984375,29,5.106770833333333
28,bctech2039,1332,0,0.15928199404761909,0.3486950549450549,57.91304347826087,22.22222222222222,32.05410628019324,57.91304347826087,296,1332,1.617867867867868,27,5.115615615615615
29,bctech2040,1420,0,0.13896949404761902,0.3466517857142856,94.66666666666667,21.267605633802816,46.373708920187795,94.66666666666667,302,1420,1.6246478873239436,35,5.1852112676056334
30,bctech2041,1237,0,0.18668014375561548,0.3695417789757413,103.08333333333333,22.55456750202102,50.25516033414174,103.08333333333333,279,1237,1.650767987065481,31,5.185933710590137
31,bctech2042,1326,0,0.15046408393866026,0.38351493139628734,88.4,22.171945701357465,44.22877828054299,88.4,294,1326,1.643288084464555,28,5.1455505279034695
32,bctech2043,1403,0,0.16144338118022333,0.3670240943267259,87.6875,21.168923734853884,43.542569493941556,87.6875,297,1403,1.5915894511760513,24,5.054169636493229
33,bctech2044,1643,0,0.14010664132615358,0.3432755252877203,43.23684210526316,22.94583079732197,26.47306916103405,43.23684210526316,377,1643,1.598904443091905,28,5.298843578819233
34,bctech2045,1487,0,0.16993243243243245,0.4068532818532819,45.06060606060606,21.51983860121049,26.632177864726625,45.06060606060606,320,1487,1.6025554808338938,29,5.097511768661735
35,bctech2046,1337,0,0.17667942176870752,0.3551020408163266,53.48,22.36350037397158,30.337400149588632,53.48,299,1337,1.6409872849663425,27,5.181002243829469
36,bctech2047,1517,0,0.1906778827233373,0.39223590262551294,79.84210526315789,22.544495715227423,40.95464039135413,79.84210526315789,342,1517,1.6374423203691497,23,5.137771918259723
37,bctech2048,1296,0,0.18569444444444447,0.3975793650793651,76.23529411764706,22.453703703703702,39.47559912854031,76.23529411764706,291,1296,1.6350308641975309,24,5.18287037037037
38,bctech2049,1567,0,0.13787114845938375,0.3733613445378152,58.03703703703704,21.442246330567965,31.791713347042005,58.03703703703704,336,1567,1.6343331206126357,31,5.06892150606254
39,bctech2050,1411,0,0.18305952380952384,0.3574603174603174,58.791666666666664,22.32459248759745,32.44650366170565,58.791666666666664,315,1411,1.656272147413182,24,5.193479801559178
40,bctech2051,1741,0,0.1416287176027436,0.3872603586889301,56.16129032258065,22.228604250430788,31.355957829204574,56.16129032258065,387,1741,1.6524985640436531,26,5.176909821941413
41,bctech2052,1458,0,0.1760721500721501,0.38909235209235205,48.6,21.193415637860085,27.91736625514403,48.6,309,1458,1.6008230452674896,30,5.045267489711934
42,bctech2053,1486,0,0.1593058350100604,0.37702883970489603,51.241379310344826,21.399730820995963,29.056444052536314,51.241379310344826,318,1486,1.6184387617765814,35,5.211978465679677
43,bctech2054,1482,0,0.16218496115756395,0.38738213840953567,42.34285714285714,20.31039136302294,25.061299402352034,42.34285714285714,301,1482,1.5728744939271255,38,4.958164642375169
44,bctech2055,1559,0,0.1913642213642214,0.4260617760617761,38.02439024390244,21.423989737010903,23.77935199236534,38.02439024390244,334,1559,1.5843489416292496,28,5.005131494547787
45,bctech2056,2298,0,0.152787508108609,0.396006434951389,31.47945205479452,21.496953872932988,21.190562371091005,31.47945205479452,494,2298,1.614882506527415,31,5.06266318537859
46,bctech2057,1529,0,0.13628639069264076,0.38758978521478527,54.607142857142854,22.759973839110533,30.94684667850136,54.607142857142854,348,1529,1.6533682145192936,23,5.194898626553303
47,bctech2058,1741,0,0.14692482314433536,0.3518767817548306,82.9047619047619,22.28604250430787,42.07632176362791,82.9047619047619,388,1741,1.6766226306720275,23,5.2837449741527855
48,bctech2059,1402,0,0.2059020791415158,0.4061368209255533,73.78947368421052,23.03851640513552,38.73119603573842,73.78947368421052,323,1402,1.6904422253922968,24,5.262482168330956
49,bctech2060,1392,0,0.1880376344086022,0.3993087557603687,81.88235294117646,23.275862068965516,42.0632860040568,81.88235294117646,324,1392,1.665948275862069,23,5.218390804597701
